# probe_name     : rest
# profile        : max-debug
# profile_type   : debug
# arm            : right
# kind           : baseline
# recorded_utc   : 2026-08-08T06:41:14.372Z
# duration_s     : 5.000
# sample_rate_hz : 1000
# n_samples      : 5000
# channels       : ulnar, median, radial
# value_range    : -1..+1  (Companion raw SNC)
# notes          : session baseline (recorded via header button)
# effort         : easy
# fatigue        : none
# schema         : armband/probe/1
t_ms,ulnar,median,radial
583,0.05658,0.07623,0.10934
584,0.02518,0.06720,0.06613
585,-0.04636,0.01831,-0.00800
586,-0.11212,-0.03568,-0.07632
587,-0.12830,-0.05917,-0.10483
588,-0.08743,-0.04181,-0.08813
589,-0.02374,-0.00336,-0.05380
590,0.01782,0.02563,-0.03568
591,0.02295,0.03003,-0.04062
592,0.01926,0.01923,-0.04260
593,0.04398,0.01147,-0.01483
594,0.09723,0.00989,0.03305
595,0.13000,-0.00348,0.05450
596,0.08539,-0.04755,0.01031
597,-0.04135,-0.11517,-0.08527
598,-0.18329,-0.16937,-0.16653
599,-0.24826,-0.17114,-0.17072
600,-0.19397,-0.11514,-0.09512
601,-0.06543,-0.03912,-0.00113
602,0.03918,0.00357,0.03906
603,0.04507,-0.01526,0.00327
604,-0.04468,-0.07874,-0.06766
605,-0.15717,-0.13950,-0.11050
606,-0.20840,-0.15421,-0.09244
607,-0.16299,-0.11121,-0.02930
608,-0.05338,-0.03522,0.03696
609,0.04822,0.03009,0.07352
610,0.08102,0.04959,0.07361
611,0.03452,0.01852,0.04996
612,-0.04889,-0.03528,0.02011
613,-0.10684,-0.07141,-0.00333
614,-0.10156,-0.06659,-0.01620
615,-0.04269,-0.03036,-0.02353
616,0.02728,0.00650,-0.03580
617,0.07050,0.02020,-0.05783
618,0.07993,0.01117,-0.07651
619,0.07266,-0.00424,-0.06235
620,0.06281,-0.01614,0.00830
621,0.04492,-0.03079,0.12500
622,0.00650,-0.05789,0.23676
623,-0.04660,-0.09094,0.28094
624,-0.08231,-0.10516,0.22900
625,-0.06512,-0.07758,0.11041
626,0.01038,-0.01053,-0.00821
627,0.10800,0.06503,-0.07260
